Bandname,Active,Size,Period,Position,Officer,Sex,Before_F1,Before_F2,Before_F3,Before_F4,F1_1,F1_2,F1_3,F1_4,F2_1,F2_2,F2_3,F3_1,F3_2,F3_3,F4_1,F4_2,F4_3,Satisfaction_1,Satisfaction_2
BAB,1,20~30,1~2,K,0,F,4,5,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2
BAB,1,~20,0.5~1,K,0,F,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
Danpung,1,40~,1~2,"V, K",1,F,4,5,5,3,5,5,5,5,5,5,5,5,5,5,4,4,3,5,5
BAB,1,20~30,0.5~1,"V, G",0,M,3,2,2,2,5,4,4,4,4,4,4,4,5,5,4,2,4,4,4
BAB,1,20~30,2~,G,0,M,4,2,2,1,4,4,4,4,4,5,3,4,5,4,3,4,4,5,4
BAB,1,20~30,1~2,D,1,M,4,3,4,4,3,3,4,4,4,4,4,2,3,3,4,4,4,4,2
BAB,1,20~30,2~,V,0,F,3,4,5,3,5,4,5,5,5,4,4,5,5,3,5,4,5,5,3
BAB,1,20~30,2~,V,0,F,3,4,4,2,4,2,3,4,4,4,3,4,4,2,4,3,4,4,2
BAB,1,20~30,~0.5,B,0,M,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
BAB,1,20~30,~0.5,V,0,M,4,5,4,3,4,4,4,4,3,3,2,4,4,4,4,3,4,4,4
BAB,1,20~30,0.5~1,V,0,F,4,3,4,2,3,2,3,4,4,4,4,4,3,3,3,3,3,4,4
BAB,1,20~30,1~2,D,0,F,4,4,5,2,4,4,5,5,4,4,4,5,5,5,5,4,4,5,4
BAB,1,20~30,2~,K,1,M,5,2,3,1,5,5,5,5,3,4,4,5,3,4,3,2,5,5,3
BAB,1,20~30,1~2,K,0,M,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,5,4
BAB,1,20~30,0.5~1,"G, D",1,M,4,3,4,3,4,5,5,5,4,4,4,5,5,5,4,4,4,4,4
BAB,1,20~30,2~,V,0,F,4,3,5,2,5,4,4,4,4,3,3,5,5,5,4,5,4,4,4
BAB,1,20~30,0.5~1,V,1,F,4,4,5,3,5,3,5,5,4,4,3,5,5,4,4,4,4,5,4
BAB,1,20~30,2~,K,1,M,4,4,3,2,4,3,5,5,5,3,3,5,4,4,4,3,4,5,5
BAB,1,20~30,0.5~1,V,0,M,3,3,4,2,5,4,4,4,4,3,3,4,4,2,3,4,4,4,3
BAB,0,20~30,2~,"V, G, B",1,M,3,2,4,3,5,5,5,5,5,5,5,5,5,5,4,3,4,5,5
BAB,0,20~30,2~,V,1,M,5,4,5,2,5,5,5,5,4,4,4,5,5,5,4,3,4,5,5
BAB,0,20~30,2~,G,0,M,3,4,4,2,4,3,5,5,5,5,5,4,5,4,4,3,4,5,5
Sonamu,1,~20,0.5~1,G,1,M,3,2,4,2,4,3,3,4,3,5,3,4,5,5,3,2,5,4,5
BAB,0,20~30,1~2,V,1,M,3,4,5,2,5,4,5,5,4,5,5,5,5,4,4,4,4,5,5
BAB,0,20~30,1~2,G,0,M,5,4,4,3,5,4,5,5,4,3,5,5,5,4,4,3,5,5,5
BAB,0,20~30,2~,V,0,M,4,4,5,5,5,5,5,5,4,4,4,5,5,5,5,3,5,5,5
BAB,0,~20,0.5~1,"G, B",0,M,3,5,4,2,4,2,4,5,5,5,5,4,5,5,4,4,4,5,3
BAB,0,20~30,2~,"V, K",1,F,3,3,4,3,4,3,4,4,4,4,4,5,5,4,4,4,4,4,4
Prozac,0,20~30,1~2,G,0,M,4,2,4,3,4,1,3,3,3,2,4,4,4,4,3,2,5,4,5
BAB,0,20~30,2~,G,1,M,4,4,2,1,2,4,5,5,4,4,2,4,4,2,5,3,5,5,5
BAB,0,20~30,1~2,V,0,F,4,3,4,2,5,5,5,5,4,4,4,4,4,4,4,4,4,5,2
BAB,0,20~30,2~,V,1,F,5,3,4,2,5,5,5,5,4,4,4,5,4,3,4,3,4,5,3
BAB,0,20~30,2~,V,1,F,4,3,5,2,4,4,5,5,4,5,4,3,4,3,4,4,4,5,3
BAB,1,20~30,1~2,V,1,F,4,5,4,3,4,4,5,5,5,4,4,5,4,3,4,4,4,5,4
BAB,0,~20,2~,G,1,M,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4
BAB ,1,20~30,1~2,G,1,M,4,4,4,4,5,5,5,5,5,5,3,5,5,4,5,4,4,4,5
BAB,0,~20,2~,V,0,M,5,4,4,3,4,5,5,5,4,5,5,5,4,4,4,3,3,5,4
Danpung,1,40~,0.5~1,K,1,M,5,4,5,4,4,4,3,3,3,4,4,4,4,4,4,3,4,3,4
Danpung,1,40~,1~2,K,0,F,5,3,3,2,4,3,5,4,4,5,3,3,3,3,4,2,2,4,2
BAB,0,20~30,1~2,K,0,F,4,4,5,3,5,4,5,5,4,4,4,5,4,4,4,3,4,5,4
Danpung,1,40~,2~,G,0,F,3,1,4,4,4,4,4,4,2,5,1,4,4,1,5,4,2,3,2
BAB,0,20~30,2~,V,0,M,4,3,4,4,4,5,5,5,3,3,5,4,3,4,4,4,4,5,2
Sonamu,0,~20,1~2,D,0,M,4,4,4,3,4,4,5,4,4,5,5,5,5,4,5,4,4,5,5
Sonamu,0,~20,1~2,G,0,F,4,5,5,3,4,3,4,5,4,5,5,4,4,4,4,3,4,5,5
Sonamu,1,~20,0.5~1,D,1,M,4,5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5
Sonamu,1,~20,0.5~1,B,1,F,4,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5
Sonamu,0,~20,0.5~1,V,0,M,4,4,3,1,5,3,4,4,5,5,3,4,3,2,4,3,4,4,3
Sonamu,1,~20,0.5~1,K,0,F,3,4,4,2,5,4,5,5,3,5,3,4,3,3,4,4,3,4,5
Sonamu,1,~20,1~2,D,0,F,3,4,5,2,3,3,4,5,5,5,5,3,5,4,4,4,5,5,3
Sonamu,1,~20,1~2,K,1,M,3,5,5,2,5,4,5,5,4,5,5,5,5,5,5,5,5,4,4
LAB,1,40~,2~,D,1,F,3,4,5,3,4,4,4,5,5,3,4,5,5,5,5,4,4,5,5
LAB,1,40~,0.5~1,G,1,M,5,3,5,3,5,5,4,5,3,4,4,5,5,5,4,3,4,5,5
Sonamu,0,~20,1~2,V,1,F,1,2,3,1,5,4,5,4,4,4,4,5,5,5,4,2,4,4,4
LAB,0,40~,~0.5,G,0,M,4,5,5,1,4,2,4,5,5,5,3,4,5,1,4,3,2,4,5
LAB,0,20~30,1~2,V,0,M,5,1,5,5,5,3,3,5,4,4,5,4,4,5,5,3,3,5,5
Danpung,1,40~,0.5~1,B,1,M,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5
Danpung,1,40~,1~2,B,0,F,3,4,5,2,4,4,5,5,5,5,4,5,5,3,4,3,3,5,4
Danpung,1,40~,1~2,G,1,M,5,4,5,2,5,4,4,5,5,4,3,5,5,4,4,2,3,5,5
Danpung,1,40~,~0.5,D,0,M,3,4,4,2,4,2,2,2,3,3,2,3,1,2,3,3,2,3,4
Danpung,1,40~,1~2,G,0,M,3,5,5,3,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4
Danpung,1,40~,~0.5,B,0,M,3,4,5,2,4,4,3,4,4,3,5,4,3,3,3,4,3,5,4
LAB,1,40~,2~,K,1,M,4,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5
Danpung,1,40~,0.5~1,"G, B, D",0,M,5,4,4,4,4,5,5,5,4,4,4,5,5,4,5,4,5,5,5
BraveCookie,1,~20,0.5~1,V,1,F,4,3,5,2,5,4,5,4,4,4,4,4,3,2,4,3,3,4,5
Danpung,1,40~,2~,"V, G",1,M,2,3,5,1,5,5,3,5,2,5,4,5,5,3,4,4,4,5,5
Danpung,1,40~,2~,G,0,M,5,5,5,3,4,3,2,3,4,3,2,3,1,4,4,2,2,2,1
Danpung,1,40~,0.5~1,V,0,M,3,4,4,3,4,4,4,5,4,5,5,3,3,4,5,3,4,5,5
Danpung,1,40~,~0.5,V,0,M,4,4,5,5,5,5,4,3,4,4,5,3,3,3,4,4,5,5,5
Verruca,0,20~30,1~2,G,0,M,3,3,5,2,5,4,4,4,1,1,1,5,5,3,3,2,2,2,5
Sonamu,0,20~30,2~,B,1,M,5,3,5,3,5,5,5,5,5,5,4,5,4,4,5,4,5,5,3
Sonamu,0,~20,1~2,D,1,F,4,4,5,2,5,5,5,5,5,5,4,5,3,4,5,4,4,5,4
Danpung,1,40~,1~2,V,0,M,3,4,5,2,4,3,3,4,4,4,4,5,5,4,3,3,4,4,5
Sonamu,0,~20,1~2,G,0,F,4,4,4,2,4,4,5,5,4,5,5,5,4,3,4,4,3,4,5
MESIK,1,20~30,1~2,G,0,M,3,4,4,3,5,3,4,5,5,5,4,4,5,4,4,4,5,4,4
Sonamu,0,~20,1~2,V,1,F,3,4,5,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
Sonamu,0,~20,1~2,D,1,M,4,4,5,4,4,4,5,5,5,5,4,4,4,4,4,3,4,5,4
Sonamu,0,20~30,1~2,B,0,M,3,3,3,3,4,2,3,3,3,4,4,4,4,3,3,4,4,4,3
MESIK,1,20~30,0.5~1,K,0,M,5,5,5,3,5,5,5,5,5,5,4,5,5,3,4,4,5,4,5
Sonamu,0,~20,0.5~1,G,0,M,5,4,5,3,4,5,4,5,5,5,5,4,4,4,3,4,5,5,2
Sonamu,0,~20,1~2,V,0,M,2,4,4,1,5,5,5,5,5,5,5,5,5,5,3,3,4,5,5
Sonamu,0,~20,1~2,D,0,M,3,4,5,2,4,3,5,5,4,5,4,4,5,3,4,3,4,5,5
Verruca,1,~20,0.5~1,K,0,M,4,3,5,3,4,5,3,4,4,5,3,4,4,3,4,3,3,4,4
Sonamu,0,~20,2~,G,0,M,2,4,4,1,5,2,4,4,4,4,4,5,5,5,4,4,4,4,5
MaegimSori,1,40~,0.5~1,V,0,F,5,4,5,3,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5
MaegimSori,1,40~,0.5~1,G,0,F,3,4,4,2,4,3,2,3,3,5,5,3,2,2,4,3,3,3,3
MaegimSori,1,40~,2~,G,1,M,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
MESIK,1,20~30,2~,V,0,M,5,4,4,5,5,5,5,5,4,5,4,4,4,4,4,5,5,5,5
MESIK,1,20~30,1~2,B,1,M,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
MaegimSori,1,40~,0.5~1,B,0,M,4,4,5,4,5,5,5,4,5,5,5,5,5,5,4,5,4,5,4
MaegimSori,1,40~,1~2,"K, D",0,M,5,4,5,2,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5
MESIK,1,20~30,2~,B,0,F,3,3,3,2,3,3,4,4,4,4,3,4,4,4,4,3,3,2,3
Verruca,1,~20,1~2,G,1,M,4,4,3,2,4,5,5,5,4,3,4,4,4,3,5,5,4,5,4
Verruca,1,~20,1~2,G,1,M,4,4,3,2,4,5,5,5,4,2,4,4,3,3,5,4,3,5,4
MESIK,1,20~30,2~,D,1,M,4,3,3,4,4,4,5,5,5,5,5,5,4,4,5,4,4,4,3
MaegimSori,1,40~,1~2,V,1,M,2,2,3,2,5,5,5,5,4,5,4,5,5,4,5,3,5,5,4
LAB,0,40~,2~,K,1,M,2,3,4,2,4,4,5,5,4,5,5,4,5,5,5,4,4,5,5
Verruca,0,20~30,0.5~1,D,0,M,4,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
